a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
1502026416,13.4,1.28,112930310,1,2013-06-11 11:20:35,False,False,1506354.4316766383,0,0,0.780487804878,True,0918Bask,8,0.5,0.5,0,0.0123027547472586,3739,0.00160470714094678,1.25454545455,0,164,0.780487804878049,False
2492782375,99.6,3.65,3159290,2,2014-05-13 10:37:57,False,False,14102.658917647408,0,0,0.771670190275,True,1120Roll,8,0.5,0.5,0.000391481365487003,0.00657688694018165,12772,0.00391481365487003,1.82352941176,8.5,473,0.771670190274841,False
293212315,83.26315789473684,7.2,775726110,2,2011-05-04 23:30:37,False,False,16262352.43461477,0,0,0.592592592593,True,keke_brooke,11,0.363636363636364,0,0.00482315112540193,0.0342979635584137,1866,0.0182207931404073,0.723140495868,8.8,1215,0.592592592592593,False
3020965143,72.4,6.88,615633750,3,2015-02-06 04:10:49,True,False,8356843.898651268,0,0,0.589545844045,True,191a5bd05da04dc,15,0.0666666666666667,0.2,0.0642857142857143,0.5,140,0.121428571428571,3.95833333333,8.6,1167,0.589545844044559,False
2157382005,82.0,7.74,13081270,2,2013-10-28 16:08:18,False,False,77646.00139625672,0,1,0.583270535041,True,19_Joanne_87,12,0.5,0.166666666666667,0.000299116725903508,0.00135482281732766,56834,0.000633423654854488,0.684388593523,9.7,1327,0.583270535041447,False
1947320929,78.95,8.05,94990650,1,2013-10-08 15:59:30,False,False,571943.8660118033,0,1,0.560584958217,True,1Dniallprincess,15,0.933333333333333,0.0666666666666667,0.000130182906984313,0.00592332226778624,15363,0.00247347523270195,0.0855683269476,9.3,1436,0.56058495821727,False
255846106,55.6,5.5,6061490,2,2011-02-22 04:37:34,False,False,20707.217435655133,0,18,0.567595459236,True,1GisellePizarro,15,0.933333333333333,0.0666666666666667,0.000174396298147911,0.000209275557777494,86011,0.000186022718024439,0.240896358543,7.9,969,0.567595459236326,False
1733095801,85.0,6.39,106273940,1,2013-09-05 20:52:02,True,False,405349.4214798481,0,0,0.649390243902,True,1Nicoleromany,13,0.923076923076923,0.0769230769230769,0.00251889168765743,0.00787153652392947,9528,0.00682199832073887,0.33273381295,10.2,984,0.649390243902439,False
1336097480,74.2,6.46,84467440,2,2013-04-08 08:37:42,False,False,2360461.3942627674,0,0,0.63645320197,True,1_DErika,8,0.75,0.125,0.00117884809700236,0.0116200740990232,5938,0.00370495116200741,0.693661971831,9.8,1015,0.636453201970443,False
32988810,99.5,4.73,594315510,2,2009-04-18 19:46:36,False,False,5426641.807553936,0,0,0.356711915535,True,2cdevelopment,13,0.923076923076923,0.0769230769230769,0.00109098843552258,0.0213833733362426,4583,0.00349116299367227,0.912698412698,9.0,1326,0.356711915535445,False
