a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
678033,105.95,8.71,4610710,2,2007-01-22 01:57:38,False,False,14962.975982320495,0,21,0.581830327321,True,6,6,0,1,51,67566,57,15,20,65,0.0936639118457,9.6,1497,871,False
116324299,87.95,8.71,204604670,2,2010-02-22 01:56:22,False,False,3278445.1135335346,0,1,0.609943977591,True,11,11,0,16,72,20274,43,0,95,5,1.19574340528,10.9,1428,871,False
708484592,58.3,5.69,90220150,1,2012-07-21 06:20:18,False,False,341805.7713690445,0,3,0.561143984221,True,10,10,0,0,60,25351,29,15,55,30,0.712979890311,8.7,1014,569,False
2859962410,98.95,6.67,609141750,1,2014-11-04 04:45:13,False,False,7105307.306097001,0,0,0.597135183527,True,15,7,0,0,64,3291,41,10,55,35,0.716636197441,8.9,1117,667,False
2871221026,77.45,6.72,7396120,1,2014-11-10 21:04:22,False,False,82343.13791802872,0,5,0.596802841918,True,15,15,0,6,35,14316,46,0,90,10,3.25968992248,9.8,1126,672,False
1490237024,92.1,7.79,52899630,1,2013-06-07 11:59:49,False,False,629969.9235848704,0,0,0.583520599251,True,11,11,0,18,55,116821,46,0,95,5,0.0264701458866,10.2,1335,779,False
335080094,110.52941176470588,7.5,249913880,1,2011-07-14 03:36:27,False,False,2825814.9575877697,0,0,0.605326876513,True,11,11,0,2,66,39725,53,23,35,41,0.437393767705,9.5,1239,750,False
164940888,58.9,5.3,12605650,1,2010-07-10 04:22:22,False,False,82176.40223172343,0,2,0.637785800241,True,8,8,0,0,34,59337,63,10,40,50,0.0172562553926,9.9,831,530,False
326845068,63.2,6.08,12188690,1,2011-06-30 15:47:55,False,False,108002.20380893855,0,6,0.563484708063,True,7,7,0,3,78,27696,49,10,60,30,0.458288190683,9.6,1079,608,False
332238901,60.7,6.7,25067400,1,2011-07-09 13:15:46,False,False,117925.94334601483,0,1,0.662710187933,True,8,8,0,0,55,12793,6,10,55,35,0.713405238829,7.8,1011,670,False
24725275,124.4,9.71,380804830,1,2009-03-16 17:00:34,False,False,3116769.0079432726,0,0,0.569835680751,True,8,8,0,16,98,575,57,15,20,65,2.75471698113,11.1,1704,971,False
