a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
24858289,24.65,2.0,11356240,1,2009-03-17 08:51:12,1,0,53455.73235984612,1,3,0.925925925926,1,9,7,2,0,0,13117,100,0,100,0,1.61111111111,22.6,216,200,0
33212890,103.5,8.86,16214770,1,2009-04-19 14:38:04,0,0,53893.64542733679,1,6,0.584047462096,1,12,12,0,44,81,34010,49,0,100,0,0.107627139885,11.7,1517,886,1
39773427,79.7,7.46,568332430,3,2009-05-13 15:34:41,0,0,5068125.930631542,1,0,0.615004122012,1,10,8,2,36,65,25767,32,0,100,0,1.3302919708,10.7,1213,746,0
57007623,94.3,9.77,53206830,1,2009-07-15 12:55:03,0,0,489852.46503661433,1,0,0.61523929471,1,14,14,0,26,50,8547,30,25,50,25,0.828920570265,10.5,1588,977,0
96435556,93.05,7.1,4815160,1,2009-12-12 22:53:04,0,0,54550.10581832083,1,16,0.640794223827,1,10,10,0,1,7,49938,77,5,85,10,1.72378516624,11.1,1108,710,0
177671726,98.0,9.83,1327042360,3,2010-08-12 19:31:28,0,0,24850197.03928816,1,0,0.570185614849,1,15,15,0,33,82,264,31,0,100,0,4.52173913043,10.3,1724,983,0
223945761,97.75,7.58,2618400,1,2010-12-07 19:08:04,0,0,26580.825278008204,1,23,0.536447275301,1,13,13,0,0,0,170462,100,10,90,0,0.0184926727146,11.9,1413,758,0
237178034,76.3,8.71,34626030,1,2011-01-12 07:35:22,0,0,175120.15233332655,1,0,0.582998661312,1,11,9,2,3,4,2521,2,10,90,0,0.766473609442,10.9,1494,871,0
237201814,82.15,8.81,39672010,1,2011-01-12 09:18:38,0,0,179596.36059884398,1,0,0.592069892473,1,9,7,2,5,5,2825,2,0,95,5,1.14183161416,9.4,1488,881,0
237226175,92.75,9.31,40703970,1,2011-01-12 11:00:59,0,0,174758.11893846304,1,0,0.60651465798,1,9,7,2,3,9,2725,3,5,95,0,0.889523809524,9.8,1535,931,0
237234251,60.6,8.42,2212290,1,2011-01-12 11:31:54,0,0,2270.650469701481,1,0,0.580689655172,1,15,13,2,6,0,1326,2,0,100,0,0.791927449227,9.0,1450,842,0
240706202,88.36842105263158,8.68,37416030,1,2011-01-20 15:10:01,0,0,220834.54621749258,1,0,0.609550561798,1,10,10,0,4,3,7572,4,5,84,10,1.17468541821,9.8,1424,868,0
260649579,62.9,5.89,28512010,1,2011-03-04 09:03:56,1,0,172583.91239176234,1,0,0.485572959604,1,9,9,0,92,0,31246,0,0,100,0,0.0115894039735,11.7,1213,589,0
282659109,138.2,7.48,43241360,1,2011-04-15 16:57:53,0,0,227649.62001691878,1,0,0.3536643026,1,7,7,0,0,0,65932,99,15,80,5,0.27868852459,13.8,2115,748,0
299988118,65.26315789473684,5.62,351059440,1,2011-05-17 00:52:11,0,0,3518777.1355445576,1,0,0.536771728749,1,11,11,0,2,17,10897,17,0,94,5,4.88235294118,9.9,1047,562,0
327060670,118.55,8.6,606593270,1,2011-06-30 22:59:43,1,0,8630321.571026044,1,1,0.582261340555,1,6,6,0,3,1,27722,95,0,100,0,0.859543010753,11.6,1477,860,0
336996257,118.6,10.19,757950,1,2011-07-17 08:10:34,0,0,1843.0056558513327,1,100,0.69131614654,1,13,13,0,24,55,252246,84,0,95,5,0.164669002397,11.0,1474,1019,0
357536147,134.7,11.01,61074890,1,2011-08-18 14:33:51,0,0,278902.69640743884,1,2,0.611666666667,1,12,12,0,93,18,358,98,0,95,5,0.240269461078,13.4,1800,1101,0
393927847,107.0,15.0,0,1,2011-10-19 09:26:05,0,0,0.0,1,0,0.833333333333,1,13,11,2,1,1,41,0,0,0,100,0.688111888112,0,18,15,0
418501358,96.4,8.6,82874090,1,2011-11-22 07:44:43,0,0,2023294.519545872,1,0,0.595567867036,1,12,12,0,4,1,1273,0,0,100,0,0.85685483871,9.7,1444,860,0
421987528,78.6,6.99,432103470,2,2011-11-26 17:12:31,0,0,1899951.3920035814,1,0,0.64010989011,1,13,12,1,15,46,5417,61,5,95,0,1.86184210526,12.7,1092,699,0
430928749,122.6,10.27,5774590,1,2011-12-07 18:34:34,0,0,31014.493855292883,1,14,0.595362318841,1,15,15,0,0,0,53167,100,15,80,5,0.0274509803922,13.1,1725,1027,0
434722849,93.7,8.66,49361970,1,2011-12-12 07:02:50,0,0,186683.76111408297,1,0,0.598479612992,1,13,13,0,5,6,2655,3,5,90,5,1.15680559604,10.2,1447,866,0
434727810,90.05263157894737,8.57,923160590,2,2011-12-12 07:14:18,0,0,34644640.80250886,1,0,0.600981767181,1,15,15,0,11,8,2515,8,0,63,36,0.898014864992,9.8,1426,857,0
434728619,94.5,9.05,175693940,2,2011-12-12 07:16:17,0,0,5135790.640417061,1,0,0.602931379081,1,10,10,0,11,6,2635,9,5,80,15,0.851724458492,9.5,1501,905,0
434729769,87.05,8.71,37025970,1,2011-12-12 07:19:06,0,0,158917.21053020027,1,0,0.588116137745,1,11,11,0,6,4,2731,2,0,100,0,1.14707169745,9.8,1481,871,0
434742028,89.85714285714286,9.3,958646630,2,2011-12-12 07:48:38,0,0,24312912.309932593,1,0,0.593112244898,1,11,9,2,5,1,1127,0,0,92,7,0.788671623979,9.4,1568,930,0
434756188,93.71428571428571,8.71,8326670,1,2011-12-12 08:22:53,0,0,3523.8148861767436,1,0,0.596984235778,1,14,14,0,6,0,1372,1,7,78,14,0.654598053827,9.5,1459,871,0
434775697,94.5,9.09,447885350,2,2011-12-12 09:07:23,0,0,12001200.980043774,1,0,0.57495256167,1,13,13,0,3,1,1067,2,0,100,0,0.682089245322,9.2,1581,909,0
434790178,85.75,8.86,609019040,2,2011-12-12 09:39:24,0,0,24714555.85023992,1,0,0.595030221625,1,11,11,0,7,8,2515,8,0,90,10,0.884550921818,9.7,1489,886,0
434792369,86.75,8.96,949764360,2,2011-12-12 09:44:09,0,0,39449591.24361539,1,0,0.592200925314,1,10,10,0,2,23,2434,7,5,80,15,0.882745635056,11.0,1513,896,0
434795107,88.55,8.94,41796010,1,2011-12-12 09:50:03,0,0,258289.96651070286,1,0,0.586229508197,1,12,9,3,5,8,2670,5,5,90,5,0.917494199536,9.7,1525,894,0
458941316,51.22222222222222,6.28,54805610,1,2012-01-09 03:32:48,0,0,386239.5567671948,1,0,0.56678700361,1,15,12,3,0,19,1946,23,11,50,38,3.40875912409,6.7,1108,628,0
465306140,89.15,9.36,38322060,1,2012-01-16 06:13:22,0,0,183004.6405205275,1,0,0.598848368522,1,14,14,0,3,10,2252,1,0,90,10,1.1394299466,9.7,1563,936,0
465318952,122.3,10.49,11838350,2,2012-01-16 06:39:15,0,0,52881.665116820026,1,8,0.63003003003,1,12,12,0,37,93,188,71,5,95,0,0.794763513514,12.6,1665,1049,0
465320112,87.15,8.62,46674030,1,2012-01-16 06:41:32,0,0,303711.3212250903,1,0,0.604064470918,1,15,15,0,1,8,3593,2,0,85,15,1.1046720575,9.6,1427,862,0
465323815,53.0,6.7,334287580,1,2012-01-16 06:49:06,0,0,69452.56941928067,1,0,0.583115752829,1,14,12,2,2,8,3017,44,5,95,0,1.03799279356,11.3,1149,670,0
465325040,89.4375,9.09,10707680,1,2012-01-16 06:51:44,0,0,55288.25425271176,1,0,0.597240473062,1,13,13,0,6,0,801,2,12,87,0,1.05893234672,9.7,1522,909,0
465325633,82.75,8.74,36527980,1,2012-01-16 06:52:53,0,0,192502.86962855252,1,0,0.599451303155,1,9,9,0,2,5,3660,1,10,85,5,1.08098945254,9.7,1458,874,0
465328572,79.15,9.24,38015980,1,2012-01-16 06:58:59,0,0,163093.051239921,1,0,0.569667077682,1,9,9,0,4,12,3405,4,5,95,0,1.08343409915,9.6,1622,924,0
465343577,99.0,8.77,44464810,1,2012-01-16 07:30:23,0,0,508127.3616165439,1,0,0.591368846932,1,11,11,0,9,7,3679,3,15,80,5,1.10038507502,10.5,1483,877,0
