a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
1502026416,13.4,1.28,112930310,1,2013-06-11 11:20:35,False,False,1506354.4316766383,0,0,0.780487804878,True,0918Bask,8,4,4,0,46,3739,6,0,100,0,1.25454545455,0,164,128,False
2492782375,99.6,3.65,3159290,2,2014-05-13 10:37:57,False,False,14102.658917647408,0,0,0.771670190275,True,1120Roll,8,4,4,5,84,12772,50,0,100,0,1.82352941176,8.5,473,365,False
293212315,83.26315789473684,7.2,775726110,2,2011-05-04 23:30:37,False,False,16262352.43461477,0,0,0.592592592593,True,keke_brooke,11,4,0,9,64,1866,34,10,26,63,0.723140495868,8.8,1215,720,False
3020965143,72.4,6.88,615633750,3,2015-02-06 04:10:49,True,False,8356843.898651268,0,0,0.589545844045,True,191a5bd05da04dc,15,1,3,9,70,140,17,0,45,55,3.95833333333,8.6,1167,688,False
2157382005,82.0,7.74,13081270,2,2013-10-28 16:08:18,False,False,77646.00139625672,0,1,0.583270535041,True,19_Joanne_87,12,6,2,17,77,56834,36,5,60,35,0.684388593523,9.7,1327,774,False
1947320929,78.95,8.05,94990650,1,2013-10-08 15:59:30,False,False,571943.8660118033,0,1,0.560584958217,True,1Dniallprincess,15,14,1,2,91,15363,38,20,40,40,0.0855683269476,9.3,1436,805,False
255846106,55.6,5.5,6061490,2,2011-02-22 04:37:34,False,False,20707.217435655133,0,18,0.567595459236,True,1GisellePizarro,15,14,1,15,18,86011,16,10,50,40,0.240896358543,7.9,969,550,False
1733095801,85.0,6.39,106273940,1,2013-09-05 20:52:02,True,False,405349.4214798481,0,0,0.649390243902,True,1Nicoleromany,13,12,1,24,75,9528,65,0,70,30,0.33273381295,10.2,984,639,False
1336097480,74.2,6.46,84467440,2,2013-04-08 08:37:42,False,False,2360461.3942627674,0,0,0.63645320197,True,1_DErika,8,6,1,7,69,5938,22,20,35,45,0.693661971831,9.8,1015,646,False
32988810,99.5,4.73,594315510,2,2009-04-18 19:46:36,False,False,5426641.807553936,0,0,0.356711915535,True,2cdevelopment,13,12,1,5,98,4583,16,30,45,25,0.912698412698,9.0,1326,473,False
21959183,104.65,9.52,61573050,2,2009-02-26 02:33:21,False,False,586489.6760962124,0,1,0.579427875837,True,2hip4tv,7,3,1,35,44,13090,57,25,45,30,0.921037628278,11.4,1643,952,True
1553611423,62.2,6.77,32785450,2,2013-06-28 17:14:55,False,False,291904.6528214478,0,4,0.685222672065,True,paatchuaa,9,9,0,1,73,25557,21,5,80,15,0.760736196319,8.2,988,677,False
348080571,121.95,9.41,629455030,1,2011-08-03 21:05:06,False,False,8216249.393507231,0,0,0.61826544021,True,510Daniel,9,6,3,39,100,324,39,5,40,55,3.02127659574,9.0,1522,941,False
839690880,124.0,8.23,44064000,2,2012-09-22 12:50:00,False,False,301690.46634985006,0,1,0.525542784163,True,51TalkPH,8,6,2,54,40,4206,74,15,15,70,0.0542682926829,9.1,1566,823,False
