a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
906226296988020736,35.75,3.0,5725403000,2,2017-09-08 18:42:40,True,False,9855825.601071667,0,1.0,True,11,11,0,0,2,4,3,0,100,0,55.8181818182,11.2,12,12,False
2197794070,114.5,9.23,1236867350,2,2013-11-27 10:59:21,True,False,13153015.794084957,0,0.489136195019,True,13,7,0,29,97,562,11,30,25,45,3.72586872587,9.0,1887,923,False
4180294264,76.15,6.23,58580720,1,2015-11-13 17:19:57,True,False,658.5973940883764,0,0.534763948498,True,11,10,0,8,99,1079,33,5,75,20,3.33333333333,10.6,1165,623,False
954432512251645952,0,0,0,0,2018-01-19 19:16:58,True,False,0,0,0,True,13,5,8,0,0,0,0,0,0,0,86.3333333333,0,0,0,False
2901126410,114.0,13.0,712849750,3,2014-11-16 03:48:35,True,False,1039794.4898907909,0,0.945454545455,True,11,10,1,2,2,4,4,0,100,0,11.2222222222,10.4,55,52,False
995433223583928320,107.0,14.5714285714,208097428,1,2018-05-12 22:39:09,True,False,455755.65479241766,0,0.75,True,15,7,8,0,7,7,1,14,57,28,6.44444444444,7.8,136,102,False
995068207445790720,38.0,2.0,0,1,2018-05-11 22:28:42,True,False,0.0,1,1.0,True,13,13,0,1,0,1,1,0,100,0,9.57692307692,0,2,2,False
909856303295627266,89.33333333333333,11.1666666667,3856017500,2,2017-09-18 19:07:01,True,False,7817999.359725494,1,0.848101265823,True,10,7,0,2,1,6,5,0,50,50,22.6666666667,10.9,79,67,False
989813203818373120,116.16666666666667,12.6666666667,272509666,2,2018-04-27 10:27:12,True,False,729775.8649505568,0,0.73786407767,True,14,10,4,2,0,6,6,16,50,33,32.6666666667,10.1,103,76,False
2255342882,83.6,7.58,59681970,1,2013-12-20 18:10:04,False,False,389231.4221091194,0,0.596380802518,True,7,1,0,24,50,2096,53,0,95,5,2.0,10.9,1271,758,False
945721301691502592,92.0,9.5,3023019000,1,2017-12-26 18:21:43,True,False,4529199.766507014,0,1.0,True,12,5,0,0,4,4,1,0,75,25,2.38888888889,11.2,38,38,False
789730272724082688,0,0,0,0,2016-10-22 07:29:04,False,False,0,0,0,True,15,7,8,0,0,0,0,0,0,0,0,0,0,0,False
4853875966,0,0,0,0,2016-01-27 15:17:33,True,False,0,0,0,True,15,14,1,0,0,0,0,0,0,0,97.0,0,0,0,False
942806562317385728,37.0,4.0,0,1,2017-12-18 17:19:35,True,False,0.0,0,1.0,True,13,5,8,0,1,1,0,100,0,0,34.3333333333,8.8,4,4,False
1002983193660624896,40.2,1.8,189288800,1,2018-06-02 18:40:02,False,False,459772.7778054721,3,0.9,True,9,9,0,0,0,5,5,0,100,0,13.6666666667,14.6,10,9,False
1003696024303566849,105.0,11.0,22121371,1,2018-06-04 17:52:34,True,False,129715.95523777136,9,0.773092369478,True,9,4,0,3,30,35,27,0,55,45,10.5909090909,11.4,498,385,False
964569544068161538,53.25,6.07,31595050,1,2018-02-16 18:37:54,True,False,235680.45969665685,4,0.630977130977,True,12,12,0,7,93,260,12,20,60,20,4.33333333333,9.4,962,607,False
818480489958965248,0,0,0,0,2017-01-09 15:32:10,True,False,0,0,0,True,14,14,0,0,0,0,0,0,0,0,49.0,0,0,0,False
964850887205228545,91.7,8.38,8481910,1,2018-02-17 13:15:52,True,False,42607.27379506344,7,0.632452830189,True,13,12,1,10,97,684,83,15,75,10,2.23938223938,10.7,1325,838,False
750312179157438464,57.0,5.0,0,1,2016-07-05 12:55:38,True,False,0.0,0,1.0,True,11,11,0,1,0,1,1,0,100,0,10.3522727273,11.2,5,5,False
1001589190876913664,24.833333333333332,2.16666666667,140139166,1,2018-05-29 22:20:46,True,False,275550.5491585084,0,1.0,True,9,6,0,0,2,6,4,0,100,0,6.91666666667,12.2,13,13,False
23966851,130.65,8.83,160636730,3,2009-03-12 15:25:01,False,False,661051.347108776,0,0.525908278737,True,10,10,0,63,56,4568,71,5,45,50,0.32337883959,11.7,1679,883,False
382462220,48.85,5.36,91205190,2,2011-09-30 03:28:32,False,False,505923.111255841,2,0.557172557173,True,9,7,1,7,45,6758,18,30,45,25,1.84708737864,7.3,962,536,False
827366030007635968,75.25,7.75,1464027785,3,2017-02-03 04:00:08,False,False,3543470.6091796765,3,0.761403508772,True,10,8,2,5,21,28,15,5,45,50,8.6,9.6,285,217,False
51932042,90.4,9.0,4354100,1,2009-06-29 02:50:05,False,False,50225.372886520214,10,0.625434329395,True,10,10,0,19,89,41812,42,25,35,40,12.3580246914,9.3,1439,900,False
597067780,47.7,3.94,1040441260,2,2012-06-02 04:03:24,False,False,2046590.5916439688,0,0.871681415929,True,9,2,1,81,4,290,98,0,95,5,10.7272727273,10.4,452,394,False
983667596145954816,97.35,8.54,13335200,1,2018-04-10 11:26:45,True,False,881.8848266638905,31,0.632592592593,True,13,13,0,3,98,1181,27,30,35,35,19.7941176471,10.2,1350,854,False
3817855217,0,0,0,0,2015-09-29 20:31:37,True,False,0,0,0,True,10,5,2,0,0,0,0,0,0,0,27.375,0,0,0,False
720361273049755648,123.0,11.4,4554355800,3,2016-04-13 21:21:25,True,False,22370727.022514127,2,0.74672489083,True,12,11,1,3,3,15,13,6,20,73,5.33333333333,12.7,229,171,False
2970857568,69.82352941176471,5.84,1241099106,2,2015-01-10 02:46:48,False,False,3817022.9713691007,0,0.636627906977,True,15,11,4,11,50,84,28,5,94,0,1.05048859935,10.9,688,438,False
966677342486695936,101.0,13.6666666667,1698531000,1,2018-02-22 14:13:33,True,False,2349763.8243078813,0,0.911111111111,True,13,5,8,1,2,3,1,0,66,33,45.5555555556,8.3,45,41,False
2898735862,118.5,8.86,10914600,3,2014-11-30 04:07:02,False,False,37836.89111895294,7,0.608516483516,True,10,10,0,0,38,7692,74,15,10,75,0.915812375108,11.9,1456,886,False
716223606317932544,72.21428571428571,7.57142857143,3080041714,2,2016-04-02 11:19:49,True,False,20068791.07611301,0,0.981481481481,True,8,4,0,1,1,14,14,0,100,0,12.8181818182,11.1,108,106,False
1612607101,66.1,7.11,856651940,1,2013-07-22 11:01:25,False,False,85919.2329849813,8,0.709580838323,True,9,9,0,11,25,354,32,10,55,35,1.47058823529,8.1,1002,711,False
750218069755047936,97.4,11.2545454545,949512109,1,2016-07-05 06:41:41,True,False,1155364.9903690813,0,0.721445221445,True,9,7,2,19,47,55,37,15,50,35,4.76271186441,9.8,858,619,False
1165964186,48.0,7.0,11856952000,2,2013-02-10 13:45:08,True,False,15977382.911664627,0,0.954545454545,True,7,5,2,0,3,3,0,0,66,33,1.42857142857,8.8,22,21,False
790061748002836480,49.3,4.43,139625410,1,2016-10-23 05:26:14,True,False,439460.8444402186,0,0.648609077599,True,9,8,0,6,31,258,35,10,80,10,1.12152777778,8.8,683,443,False
3705100578,0,0,0,0,2015-09-27 15:57:00,True,False,0,0,0,True,11,7,0,0,0,0,0,0,0,0,14.25,0,0,0,False
1004014323881185281,98.16666666666667,12.6666666667,89334666,3,2018-06-05 14:57:23,True,False,206611.06737411773,0,0.826086956522,True,15,7,8,0,4,6,3,0,100,0,21.5652173913,10.4,92,76,False
896288028452200448,0,0,0,0,2017-08-12 08:31:33,True,False,0,0,0,True,15,11,4,0,0,0,0,0,0,0,35.6666666667,0,0,0,False
4765364846,74.05,6.16071428571,1202128125,1,2016-01-15 23:57:30,True,False,10446996.262709085,2,0.745140388769,True,10,9,1,29,34,56,33,10,75,15,4.86764705882,11.1,463,345,False
2614252362,105.55,8.42,448912940,2,2014-07-09 21:43:48,True,False,3629972.291669509,0,0.603584229391,True,15,15,0,40,92,930,62,5,40,55,2.17105263158,10.8,1395,842,False
20012047,116.0,8.51,2241070,2,2009-02-03 23:04:31,False,False,9683.745872724046,44,0.527261462206,True,9,9,0,1,2,19437,75,0,60,40,4.39405204461,11.7,1614,851,False
999114120044695552,84.9,10.3103448276,37332482,3,2018-05-23 02:25:43,False,False,379413.00100342836,0,0.81693989071,True,14,6,8,6,12,29,20,15,50,35,4.18903591682,10.3,366,299,False
2749628006,74.375,8.0625,639257062,2,2014-08-20 16:53:43,True,False,3198591.806473792,1,0.821656050955,True,15,14,1,1,4,16,15,12,50,37,11.8,10.8,157,129,False
989093617565388800,54.0,6.5,517072750,1,2018-04-25 10:47:49,True,False,746581.3847158593,1,0.962962962963,True,11,10,1,1,4,4,2,0,75,25,14.5714285714,10.7,27,26,False
130914647,110.1,8.63,220111040,2,2010-04-08 18:25:58,False,False,736822.3816706082,2,0.552143314139,True,12,12,0,47,91,1158,61,5,50,45,1.15061728395,9.3,1563,863,False
952927753,124.25,15.0,2146500,2,2012-11-17 04:32:40,False,False,3277.5455374410894,4,0.845070422535,True,9,9,0,3,1,4,3,25,25,50,1.66666666667,10.0,71,60,False
77015676,114.7,10.83,11136090,2,2009-09-24 19:03:00,False,False,32698.437029122662,10,0.611173814898,True,9,9,0,15,80,6731,59,10,55,35,0.226133537402,12.2,1772,1083,True
215949246,121.2,10.46,43017570,3,2010-11-15 11:25:19,False,False,60729.190969829324,9,0.651713395639,True,13,13,0,19,64,2272,73,5,35,60,3.38110749186,10.1,1605,1046,False
992071066305679361,80.8,8.8,199369600,2,2018-05-03 15:59:08,True,False,641682.6867384611,0,0.854368932039,True,8,8,0,4,8,10,6,0,70,30,0,10.8,103,88,False
833793235701035008,45.75,1.16,63919730,1,2017-02-20 21:39:33,False,False,233193.71061297407,0,0.349397590361,True,15,14,1,0,0,285,100,0,100,0,9.23684210526,11.4,332,116,False
1002208766253772801,98.33333333333333,12.1666666667,69645000,1,2018-05-31 15:22:44,True,False,151211.79367106993,0,0.760416666667,True,13,5,8,1,4,6,5,0,50,50,26.6666666667,8.4,96,73,False
874948197399097344,99.9,8.46,25566670,1,2017-06-14 11:14:40,True,False,164455.07295337532,1,0.508108108108,True,10,9,1,1,99,181,33,0,100,0,29.3333333333,7.9,1665,846,False
