a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
57572464,81.35,8.84,404173940,2,2009-07-17 06:30:41,False,False,6248865.091167831,0,0.674294431732,True,CurtDelfin,10,10,0,12,46,11913,35,5,40,55,0.903743315508,9.1,1311,884,False
771812148,68.7,7.71,65737980,2,2012-08-21 16:29:50,False,False,594949.5517253941,0,0.704109589041,True,kwwdawson,9,9,0,25,78,6930,48,20,70,10,0.271386430678,9.9,1095,771,False
967352869,98.4,7.44,97106550,2,2012-11-24 04:20:23,False,False,513931.39524949,2,0.59807073955,True,stephen_zelenak,15,7,0,4,49,721,61,30,25,45,0.781388478582,9.8,1244,744,False
1280865181,63.05,7.98,9286350,2,2013-03-19 16:13:46,True,False,15166.86639775995,15,0.648253452478,True,DBodyArchitect,14,14,0,23,64,8017,41,20,55,25,2.35968379447,8.9,1231,798,False
225683965,104.1,9.46,21567410,1,2010-12-12 05:34:41,False,False,67703.30265834526,4,0.583950617284,True,DC_7C03res,10,2,1,5,77,19611,68,30,40,30,1.06831683168,10.0,1620,946,False
109139576,65.15,4.65,11729620,2,2010-01-28 02:48:24,False,False,105601.39590813892,2,0.563636363636,True,DJ_DreSongz,11,2,0,3,78,144689,46,10,65,25,0.19136339892,9.5,825,465,False
380143624,110.75,9.85,18228380,1,2011-09-26 04:24:55,False,False,184948.0318343169,3,0.617167919799,True,DKM33,5,3,2,9,84,8109,39,65,25,10,6.15012106538,10.1,1596,985,False
706364737,47.75,6.14,22627740,1,2012-07-20 03:45:43,False,False,175356.07637892108,0,0.509543568465,True,DLGVOFFICIAL,12,12,0,5,43,3483,31,20,40,40,0.571050016562,9.2,1205,614,False
270654915,94.85,9.05,20256350,1,2011-03-23 00:57:30,False,False,133349.37501255865,2,0.61901504788,True,DVZED,5,5,0,6,92,43247,62,30,40,30,0.700704225352,9.4,1462,905,False
9272142,97.9,10.12,22717060,3,2007-10-05 22:41:48,False,False,130023.92068400337,0,0.580941446613,True,DWCook,6,6,0,8,51,29538,73,25,35,40,0.436154949785,9.9,1742,1012,False
2868402013,63.85,5.68,197055250,3,2014-10-21 01:32:39,False,False,3733669.4573247116,0,0.619411123228,True,LanaDelHey__,12,10,0,8,94,1329,88,0,65,35,2.17647058824,10.3,917,568,False
546533556,47.35,5.44,81017020,1,2012-04-06 02:27:41,False,False,556742.1386277853,1,0.570230607966,True,DairyPena,9,9,0,2,43,13711,3,0,95,5,0.351097178683,7.8,954,544,False
961709562,71.1,5.8,5673750,1,2012-11-21 04:01:57,True,False,26706.421915852,15,0.593654042989,True,Dalton_Harper_,14,6,0,1,67,21737,59,30,45,25,0.490566037736,9.4,977,580,False
210704864,91.45,7.55,4501070,1,2010-11-01 03:57:21,False,False,28273.686404323013,22,0.618852459016,True,DamiGordon,10,10,0,4,76,17565,42,15,55,30,0.927710843373,9.6,1220,755,False
469739735,99.1,9.67,5739760,2,2012-01-20 22:57:32,False,False,44442.684737620206,13,0.617891373802,True,DamonGochneaur,14,14,0,7,92,35850,34,0,40,60,0.256792287467,9.2,1565,967,False
143217021,94.45,7.17,18929680,2,2010-05-12 22:32:10,False,False,83281.18090337097,0,0.580566801619,True,DanielJayLogan,14,14,0,9,49,9467,92,10,45,45,1.42465753425,10.2,1235,717,False
745579297,78.9,6.16,221118850,2,2012-08-08 17:11:22,False,False,3302049.389703142,0,0.615384615385,True,DannyRomeril,12,12,0,2,20,5399,54,20,50,30,2.57386363636,10.1,1001,616,False
2697960505,115.7,7.04,38478670,2,2014-08-01 10:32:22,False,False,1237798.7324791327,0,0.526551982049,True,bluewhiteboy14,14,12,2,18,50,3553,29,15,65,20,1.17346938776,9.5,1337,704,False
2991390654,106.05,8.24,380271533,4,2015-01-20 16:57:39,False,False,8874729.449877337,0,0.668108108108,True,DarBontilaoR,12,12,0,35,44,76,40,20,40,40,21.5,10.1,925,618,False
194476539,57.15,6.51,1470810,1,2010-09-24 06:25:28,False,False,5463.339468447846,33,0.554042553191,True,Novelist_Dario,14,8,0,0,74,115509,26,5,55,40,0.33100069979,8.5,1175,651,False
3061358054,63.4,6.15,461016130,1,2015-03-04 12:44:25,False,False,6583286.410936156,0,0.630769230769,True,DarkCrow000,11,8,3,23,20,924,11,35,55,10,0.641509433962,7.5,975,615,False
451144632,51.1,4.87,221521110,3,2011-12-31 03:02:55,False,False,480417.1784746461,0,0.568925233645,True,Darren_guy8,11,6,1,1,33,11043,8,5,50,45,1.13778409091,6.7,856,487,False
2735881390,106.95,10.68,88796610,2,2014-08-07 05:46:31,True,False,656989.1575410872,1,0.595317725753,True,sonnentae,9,9,0,25,100,10633,47,5,65,30,0.460244648318,8.8,1794,1068,False
198249025,65.3,6.62,107117070,2,2010-10-03 19:36:32,False,False,667752.8145696038,0,0.605672461116,True,Davfo,5,5,0,4,75,26788,42,5,50,45,0.87598944591,9.5,1093,662,False
59230786,114.5,8.72,826091210,3,2009-07-22 19:59:14,False,False,24552334.491391044,0,0.608938547486,True,DavidJanney,11,11,0,46,59,2793,75,25,20,55,0.805383022774,10.2,1432,872,False
546312443,83.25,6.54,137474180,1,2012-04-05 21:55:49,False,False,322071.5715709941,2,0.641805691855,True,_DavidJ10_,10,6,2,6,76,5050,62,5,95,0,1.66666666667,10.7,1019,654,False
80119212,78.5,7.59,3087750,2,2009-10-05 20:33:31,False,False,36295.3783915735,16,0.550798258345,True,DawgBelly,9,9,0,1,67,83358,33,20,40,40,0.488047808765,9.0,1378,759,False
27372659,69.95,5.93,7242170,1,2009-03-29 03:36:16,False,False,35513.5244330945,12,0.672335600907,True,DayObama,8,8,0,4,63,26689,51,15,65,20,0.960055096419,9.6,882,593,False
