a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
42187843,131.9,11.46,52635730,1,2009-05-24 09:05:09,False,False,467801.12930106046,3,0.533519553073,True,jorgeranio,10,1,0,0,0,515,0,3.54135338346,11.5,2148,0,False
436108523,98.15,7.67,1998380,2,2011-12-13 20:09:05,False,False,6470.617992896814,40,0.619547657512,True,EuzkalZombi,11,1,0,0,0,31106,0,0.533786742922,13.7,1238,0,False
1008355130280939520,117.45454545454545,12.7272727273,14186454,2,2018-06-17 14:26:12,False,False,57459.31848125749,0,0.736842105263,True,AragonNacion,12,1,0,0,0,11,0,6.64516129032,11.0,190,0,False
1006272628343091208,142.0,23.0,0,1,2018-06-11 20:31:05,True,False,0.0,0,1.0,True,MarioBerges78,13,0,0,1,1,1,0,21.5,9.7,23,1,False
3186278763,0,0,0,0,2015-04-20 08:20:19,True,False,0,0,0,True,sanchezborroy,13,1,0,0,0,0,0,4.0,0,0,0,False
3111081069,13.0,1.0,0,1,2015-03-24 18:22:18,True,False,0.0,0,1.0,True,conusa_usabel49,15,0,0,0,1,1,0,24.375,0,1,1,False
854616592356966401,118.0,7.34,9770530,1,2017-04-19 08:44:08,True,False,20801.153747088163,25,0.565921356978,True,aragon_chispon,14,0,0,0,0,1823,0,1.4979253112,12.7,1297,0,False
375574327,99.05,8.15,104062640,2,2011-09-18 11:13:09,True,False,355972.69897146255,0,0.655144694534,True,juls1966,8,0,0,0,0,1920,0,3.84285714286,11.4,1244,0,False
707652437310627840,112.25,7.9898989899,673025878,2,2016-03-09 19:41:03,True,False,1615569.0014890505,0,0.512305699482,True,EscuelaOrquesta,15,1,0,0,0,99,0,2.14371257485,12.4,1544,0,False
368968567,105.55,8.47,1205232320,3,2011-09-06 14:54:02,True,False,7999997.98270085,0,0.608477011494,True,DavidIzquierdo5,15,0,0,0,0,122,0,1.63049853372,10.4,1392,0,False
2734177839,117.2,10.2857142857,4902485666,3,2014-08-05 14:57:51,False,False,25209260.59644415,1,0.635294117647,True,doribai20,9,0,0,0,0,21,0,7.75,13.1,340,0,False
