a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
452542872,116.6,6.87,719694640,3,2012-01-02 00:04:28,True,False,9613469.013155773,0,0.466711956522,True,12,10,1,16,12,187,91,25,25,50,1.21268656716,8.6,1472,687,False
1969657933,81.7,6.44,122316720,2,2013-10-18 21:43:24,False,False,1599207.868659009,3,0.530041152263,True,7,5,0,4,100,3319,68,5,30,65,1.04814814815,7.2,1215,644,False
822114151518633984,118.9,10.1463414634,534996865,1,2017-01-19 16:11:02,False,False,1005205.3426245257,0,0.685337726524,True,15,15,0,23,68,83,52,5,40,55,21.0,10.9,1214,832,False
4055635145,64.25,3.08,543524100,3,2015-10-27 19:56:53,True,False,6379350.544045715,0,0.36449704142,True,15,15,0,32,52,237,80,0,100,0,5.09905660377,10.2,845,308,False
598635773,80.5,11.0,81598140500,2,2012-06-03 20:31:34,True,False,81598140.5,0,0.95652173913,True,12,10,2,0,1,2,1,0,50,50,1.06666666667,13.0,23,22,False
904206644719919104,134.55,10.48,4000290,1,2017-09-03 04:57:18,False,False,19050.282124945024,29,0.537160430548,True,10,10,0,47,100,4357,50,0,35,65,1.40892420538,10.9,1951,1048,False
998316912084955137,36.95,2.08196721311,33848295,1,2018-05-20 21:37:54,True,False,117152.83080501085,7,0.888111888112,True,12,4,1,13,48,61,61,0,100,0,32.3846153846,18.7,143,127,False
976401922486865920,50.5,4.5,1355756500,2,2018-03-21 10:15:33,True,False,1355756.5,0,1.0,True,15,7,8,0,1,2,2,0,50,50,11.3333333333,12.2,9,9,False
2256334539,98.0,13.0,7771886500,2,2014-01-01 14:31:07,False,False,7773686.5,0,0.962962962963,True,10,10,0,1,2,2,2,0,100,0,0.352941176471,11.2,27,26,False
1016693377,140.0,18.0,0,1,2012-12-17 04:35:27,True,False,0.0,0,1.0,True,10,6,4,0,1,1,1,0,0,100,0,11.2,18,18,False
936984194810630144,110.3125,10.9393939394,502660454,3,2017-12-02 15:43:35,True,False,1045473.4652271713,1,0.859523809524,True,11,11,0,2,30,37,21,0,100,0,20.1063829787,11.3,420,361,False
1001901440837849089,55.05,5.8,48290200,1,2018-05-30 19:01:32,True,False,269521.1719790256,16,0.852941176471,True,15,14,1,1,11,25,16,5,75,20,12.0,9.1,170,145,False
376750123,97.15,9.37,849539890,1,2011-09-20 12:46:20,True,False,27471975.64813061,0,0.638718473074,True,8,8,0,34,44,478,39,10,70,20,2.15811965812,8.8,1467,937,False
940546208573075457,139.0,17.0,0,1,2017-12-12 11:37:45,True,False,0.0,1,0.809523809524,True,9,6,3,1,1,1,0,0,100,0,34.04,11.2,21,17,False
931300904044810240,110.0,14.5,1175250833,3,2017-11-16 23:20:13,False,False,4075118.2890861756,1,0.820754716981,True,12,10,2,3,9,12,3,0,33,66,8.0,9.4,212,174,False
774732391764021248,57.6,6.8,19709400,1,2016-09-10 22:12:50,False,False,47719.292213527224,0,0.871794871795,True,11,7,4,2,2,7,4,20,60,20,9.0,9.4,39,34,False
762323542616801284,115.75,10.64,80159970,3,2016-08-07 16:24:30,False,False,153826.21968386113,5,0.656384947563,True,10,6,0,20,90,1512,75,25,35,40,8.56756756757,10.7,1621,1064,False
46886564,112.5,9.4,1600447750,3,2009-06-13 13:38:30,False,False,37571048.579706796,1,0.576687116564,True,15,15,0,31,49,140,33,25,30,45,1.93529411765,10.5,1630,940,False
942483999393566721,95.0,11.5,4484479500,1,2017-12-17 19:57:50,True,False,4482679.5,0,1.0,True,7,7,0,0,1,2,2,0,100,0,3.875,10.1,23,23,False
984230684473593857,75.95,9.07692307692,178912346,1,2018-04-12 00:44:16,True,False,822758.0792022647,0,0.810996563574,True,10,3,1,1,25,26,10,0,90,10,174.0,11.0,291,236,False
2595238858,80.6,10.4,9960646800,4,2014-06-09 15:11:25,True,False,20331833.765061617,0,0.866666666667,True,14,14,0,1,2,5,3,0,80,20,47.5,10.7,60,52,False
3235412162,117.7,8.97,871100,1,2015-06-03 20:30:37,True,False,2069.009071995577,73,0.601609657948,True,15,14,1,19,100,2379,53,10,40,50,1.36538461538,11.9,1491,897,False
994395569895374849,121.85,11.3265306122,13390632,1,2018-05-10 01:55:53,True,False,110426.9819021941,3,0.665467625899,True,14,14,0,1,48,49,37,30,25,45,19.5833333333,12.1,834,555,False
2906571988,0,0,0,0,2014-12-05 16:38:23,True,False,0,0,0,True,15,15,0,0,0,0,0,0,0,0,6.66666666667,0,0,0,False
23584660,36.25,1.96,416581080,1,2009-03-10 12:15:56,False,False,9391552.802251963,0,0.48635235732,True,9,6,3,0,99,44854,1,15,60,25,11.0828729282,8.0,403,196,False
920758568,62.8,6.36,125290000,1,2012-11-02 10:32:11,True,False,2111639.1334938,0,0.873626373626,True,11,11,0,8,39,217,56,0,95,5,2.96153846154,10.2,728,636,False
306661300,121.25,15.0,27789326750,3,2011-05-28 07:44:01,False,False,89033090.32879396,1,0.794701986755,True,8,8,0,1,5,8,6,12,50,37,3.5,9.7,151,120,False
788141667077554176,93.0,9.25,2856728500,3,2016-10-17 22:16:31,False,False,6951819.670753761,0,0.850574712644,True,10,10,0,1,8,8,3,0,87,12,7.66666666667,10.0,87,74,False
47793497,86.0,15.0,0,1,2009-06-17 00:40:48,True,False,0.0,0,1.0,True,11,11,0,0,1,1,0,0,100,0,4.33333333333,14.6,15,15,False
75111830,91.4,7.27,590065290,1,2009-09-17 20:50:58,True,False,8441398.839684531,0,0.680074836296,True,11,11,0,73,12,262,100,15,60,25,1.075,9.7,1069,727,False
973513226913746944,136.55,10.8873239437,112179535,2,2018-03-13 10:56:55,True,False,1684369.439326672,6,0.594615384615,True,15,13,2,28,61,71,29,10,40,50,2.46897546898,11.8,1300,773,False
725075919442944000,72.45,4.91025641026,618108910,2,2016-04-26 21:35:45,False,False,1817274.859570678,0,0.594720496894,True,14,14,0,6,7,78,77,15,70,15,6.38888888889,9.9,644,383,False
786571506075656192,125.83333333333333,14.5,6990127500,2,2016-10-13 14:17:15,True,False,15319625.13532921,1,0.805555555556,True,15,14,1,2,5,6,4,16,33,50,19.3333333333,12.4,108,87,False
236040504,83.05,8.69,1838511300,1,2011-01-09 17:23:31,True,False,12479862.440537468,1,0.611111111111,True,15,15,0,25,81,907,28,25,45,30,3.45454545455,9.5,1422,869,False
14820926,23.75,5.0,408829750,1,2008-05-18 14:18:36,True,False,692376.9456699508,0,1.0,True,8,8,0,0,1,4,0,0,75,25,0,3.1,20,20,False
625034613,64.0,6.96,1587495930,1,2012-07-02 19:56:28,True,False,9046362.544198986,0,0.577114427861,True,8,8,0,28,93,105,33,10,75,15,1.52702702703,9.6,1206,696,False
1001811831290245125,121.16666666666667,14.8333333333,81629500,1,2018-05-30 13:05:28,True,False,180014.32110622013,0,0.729508196721,True,8,8,0,0,3,6,2,0,50,50,23.0,10.3,122,89,False
808257421768466432,130.0,8.47,76384700,1,2016-12-12 10:29:20,False,False,183376.0794460049,4,0.5960591133,True,7,7,0,83,1,548,100,15,65,20,1.42537851478,12.1,1421,847,False
983629323881074688,0,0,0,0,2018-04-10 08:54:40,True,False,0,0,0,True,13,4,9,0,0,0,0,0,0,0,21.6666666667,0,0,0,False
4270512616,0,0,0,0,2015-11-25 03:50:21,True,False,0,0,0,True,12,12,0,0,0,0,0,0,0,0,64.0,0,0,0,False
134285173,125.95,10.83,15401230,2,2010-04-18 00:39:06,False,False,59641.157814465674,10,0.561139896373,True,7,1,0,3,85,3025,34,15,35,50,7.21327014218,10.8,1930,1083,False
2184752714,40.1,5.88235294118,2302575794,2,2013-11-09 17:42:22,True,False,15645616.564108472,0,0.72202166065,True,7,1,1,0,33,34,11,0,100,0,8.74285714286,9.6,277,200,False
920690988665913344,42.0,3.0,0,1,2017-10-18 16:40:12,True,False,0.0,0,1.0,True,12,8,4,0,1,1,1,0,100,0,27.26,8.8,3,3,False
546642163,122.7,11.41,126433070,2,2012-04-06 08:36:38,False,False,895903.8375089859,1,0.654618473896,True,10,10,0,8,85,766,38,20,35,45,11.8083333333,10.8,1743,1141,False
919333141,0,0,0,0,2012-11-01 16:08:59,True,False,0,0,0,True,12,6,0,0,0,0,0,0,0,0,23.0,0,0,0,False
945956950717665280,0,0,0,0,2017-12-27 09:58:06,True,False,0,0,0,True,7,7,0,0,0,0,0,0,0,0,3.375,0,0,0,False
1001595498602663936,0,0,0,0,2018-05-29 22:45:50,True,False,0,0,0,True,13,5,8,0,0,0,0,0,0,0,0,0,0,0,False
