a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
3315328448,135.35,10.13,15857530,3,2015-08-14 19:08:54,False,False,132766.4206145044,3,0.588611272516,True,MATLABHelper,12,12,0,76,69,1365,59,5,60,35,1.24978831499,11.6,1721,1013,False
18024266,128.0,9.63,19993920,2,2008-12-10 17:21:37,False,False,106039.67965553036,3,0.586122945831,True,BeyondTrust,11,11,0,83,60,11868,92,10,35,55,0.883073496659,13.2,1643,963,True
516396074,74.94736842105263,7.13,665927900,2,2012-03-06 10:07:38,False,False,10232801.161003696,0,0.556596409055,True,antmarpe,8,8,0,4,71,880,17,10,89,0,0.939393939394,10.7,1281,713,False
16869524,95.1,10.27,24437810,2,2008-10-20 16:10:51,False,False,291804.5098719175,0,0.624695863747,True,Klego,5,5,0,12,98,24138,41,5,90,5,1.17761806982,11.2,1644,1027,False
17772686,84.45,8.93,1796000,2,2008-12-01 05:49:13,False,False,15645.099529565163,29,0.623168178646,True,kfalconspb,10,10,0,17,90,58830,37,0,50,50,0.990855918939,9.8,1433,893,False
33669105,133.35,8.97,8903910,3,2009-04-20 21:23:03,False,False,74007.15678844851,4,0.531398104265,True,JosephSteinberg,15,15,0,29,58,8598,72,10,50,40,0.337865286049,11.8,1688,897,True
961321017921757184,127.35,9.66,42586890,2,2018-02-07 19:29:26,False,False,268104.7713029134,1,0.557736720554,True,prestigia_seg,13,9,0,38,61,217,65,5,85,10,5.21951219512,12.9,1732,966,False
2616166573,102.7,7.18,535833140,2,2014-07-10 21:01:26,True,False,634144.6004102613,2,0.466840052016,True,WTSxDEV,7,7,0,7,13,1408,47,10,50,40,0.485284979947,9.1,1538,718,False
893472479389380608,125.85,10.06,57250480,1,2017-08-04 14:03:33,True,False,1027321.4288502637,0,0.589683470106,True,crimianalysis,13,13,0,31,79,845,48,10,80,10,2.99206349206,12.8,1706,1006,False
203235419,76.6,8.12,90210640,3,2010-10-15 20:50:00,False,False,1239777.161971844,1,0.577114427861,True,alexavilesp,11,11,0,82,40,4236,83,0,100,0,0.184389022227,10.2,1407,812,False
1133466859,104.8,8.85,28654700,1,2013-01-30 09:01:38,False,False,393283.3926149787,0,0.552434456929,True,Hurd4n0,7,4,1,17,99,3189,46,0,95,5,0.456140350877,11.6,1602,885,False
613304383,95.55,8.59,8427600,3,2012-06-20 09:41:34,False,False,39053.641928890574,14,0.589163237311,True,KeepCoding_es,13,10,0,26,26,23525,90,0,95,5,0.686436672968,11.9,1458,859,False
727541551824400384,140.0,14.0,0,1,2016-05-03 16:53:17,True,False,0.0,0,1.0,True,_DULCA,6,5,0,1,1,1,1,0,0,100,30.5,10.1,14,14,False
1848921380,58.3,5.74,213547120,3,2013-09-09 17:39:02,True,False,1502668.968083998,1,0.733077905492,True,oblomov_madrid,14,7,0,14,37,1021,56,5,90,5,1.92857142857,11.8,783,574,False
2309773998,124.05,11.04,4558010,2,2014-01-25 10:11:37,False,False,66990.99996409965,9,0.68785046729,True,GalvanBetillo,13,13,0,33,99,666,77,10,70,20,8.3375,12.2,1605,1104,False
302136181,115.63157894736842,10.51,656844000,2,2011-05-20 17:20:14,False,False,1584365.27534651,0,0.680699481865,True,eric_fdzz,9,4,0,10,100,399,73,5,63,31,6.56603773585,11.4,1544,1051,False
804889056257724416,106.65,9.25,557351355,2,2016-12-03 03:24:39,False,False,831559.3454349049,0,0.751871657754,True,vicvichurra1414,15,11,4,20,41,76,71,0,95,5,0.111862768785,12.6,935,703,False
1241814998,122.3,8.83333333333,2042404679,4,2013-03-04 17:26:43,False,False,27354330.13356639,0,0.640334572491,True,JPCANASYBARRA,13,13,0,20,39,78,68,0,95,5,4.34615384615,12.6,1076,689,False
88110468,133.65,10.84,6226170,1,2009-11-07 04:18:00,False,False,39357.81915639508,13,0.571428571429,True,PresImplacable,14,14,0,3,82,3542,56,10,90,0,0.323974082073,11.3,1897,1084,False
30872450,102.1,8.9,1824108950,2,2009-04-13 14:19:26,False,False,13021328.51201958,0,0.705789056305,True,Popotxo,7,7,0,20,57,945,58,5,65,30,1.06112469438,10.9,1261,890,False
774155449,127.8,10.42,147430160,1,2012-08-22 17:41:17,True,False,491152.17254415917,0,0.553078556263,True,ElicerCastilloB,15,15,0,41,99,232,44,0,100,0,6.48571428571,12.3,1884,1042,False
868871129263419396,94.95,8.16,82769420,1,2017-05-28 16:46:34,True,False,395827.7141270271,5,0.56275862069,True,JPastorPiana,12,12,0,35,100,157,22,0,100,0,13.1818181818,12.1,1450,816,False
330591028,121.3,10.47,3998720,2,2011-07-06 21:11:37,False,False,45262.206026082065,4,0.634161114476,True,BlancoJoseMaria,15,15,0,27,74,5371,59,0,85,15,0.431006227466,11.7,1651,1047,False
3124748110,99.35,7.55,14018410,1,2015-03-28 20:07:25,True,False,39118.86687632325,10,0.584817970565,True,velocidadsombra,15,15,0,3,89,3568,35,0,95,5,8.94392523364,10.9,1291,755,False
982173312976433153,0,0,0,0,2018-04-06 08:29:00,True,False,0,0,0,True,joenet55,8,6,2,0,0,0,0,0,0,0,31.0,0,0,0,False
2996648591,118.15,5.24,664188360,2,2015-01-24 21:42:33,True,False,3080248.7260531294,0,0.317768344451,True,JMGReguera,10,10,0,6,85,291,90,0,100,0,7.28125,11.5,1649,524,False
973113702261121024,133.9,7.16,61469360,1,2018-03-12 08:29:20,False,False,1150884.1890384064,0,0.437652811736,True,IncydeEmprende,14,14,0,21,82,101,77,10,85,5,7.9625,11.4,1636,716,False
