a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
24858289,24.65,2.0,11356240,1,2009-03-17 08:51:12,True,False,53455.73235984612,1,3,0.925925925926,True,9,7,2,0,0,13117,100,0,100,0,1.61111111111,22.6,216,200,False
33212890,103.5,8.86,16214770,1,2009-04-19 14:38:04,False,False,53893.64542733679,1,6,0.584047462096,True,12,12,0,44,81,34010,49,0,100,0,0.107627139885,11.7,1517,886,True
39773427,79.7,7.46,568332430,3,2009-05-13 15:34:41,False,False,5068125.930631542,1,0,0.615004122012,True,10,8,2,36,65,25767,32,0,100,0,1.3302919708,10.7,1213,746,False
57007623,94.3,9.77,53206830,1,2009-07-15 12:55:03,False,False,489852.46503661433,1,0,0.61523929471,True,14,14,0,26,50,8547,30,25,50,25,0.828920570265,10.5,1588,977,False
96435556,93.05,7.1,4815160,1,2009-12-12 22:53:04,False,False,54550.10581832083,1,16,0.640794223827,True,10,10,0,1,7,49938,77,5,85,10,1.72378516624,11.1,1108,710,False
177671726,98.0,9.83,1327042360,3,2010-08-12 19:31:28,False,False,24850197.03928816,1,0,0.570185614849,True,15,15,0,33,82,264,31,0,100,0,4.52173913043,10.3,1724,983,False
223945761,97.75,7.58,2618400,1,2010-12-07 19:08:04,False,False,26580.825278008204,1,23,0.536447275301,True,13,13,0,0,0,170462,100,10,90,0,0.0184926727146,11.9,1413,758,False
237178034,76.3,8.71,34626030,1,2011-01-12 07:35:22,False,False,175120.15233332655,1,0,0.582998661312,True,11,9,2,3,4,2521,2,10,90,0,0.766473609442,10.9,1494,871,False
237201814,82.15,8.81,39672010,1,2011-01-12 09:18:38,False,False,179596.36059884398,1,0,0.592069892473,True,9,7,2,5,5,2825,2,0,95,5,1.14183161416,9.4,1488,881,False
237226175,92.75,9.31,40703970,1,2011-01-12 11:00:59,False,False,174758.11893846304,1,0,0.60651465798,True,9,7,2,3,9,2725,3,5,95,0,0.889523809524,9.8,1535,931,False
237234251,60.6,8.42,2212290,1,2011-01-12 11:31:54,False,False,2270.650469701481,1,0,0.580689655172,True,15,13,2,6,0,1326,2,0,100,0,0.791927449227,9.0,1450,842,False
240706202,88.36842105263158,8.68,37416030,1,2011-01-20 15:10:01,False,False,220834.54621749258,1,0,0.609550561798,True,10,10,0,4,3,7572,4,5,84,10,1.17468541821,9.8,1424,868,False
