a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
104957630,88.6,8.25,1544937550,1,2010-01-14 22:44:39,1,0,7705639.567924794,1,0,0.708154506438,1,8,8,0,8,0,20,18,0,95,5,9.82098765432,10.3,233,165,0
104964099,91.58823529411765,7.88235294118,1090845705,1,2010-01-14 23:10:09,0,0,4897784.386074428,1,0,0.660098522167,1,7,7,0,6,0,17,16,0,94,5,6.39047619048,10.5,203,134,0
104966336,91.29411764705883,7.88235294118,1090809647,1,2010-01-14 23:18:56,1,0,4897697.738302836,1,0,0.666666666667,1,7,7,0,6,0,17,16,0,94,5,6.05555555556,10.6,201,134,0
104967269,93.88235294117646,8.17647058824,1090811117,1,2010-01-14 23:22:48,0,0,4897708.762928126,1,0,0.671497584541,1,7,7,0,6,0,17,16,5,88,5,6.61616161616,10.6,207,139,0
104991578,103.11764705882354,8.82352941176,1090404941,1,2010-01-15 01:05:32,0,0,4678182.35771905,1,0,0.688073394495,1,15,15,0,8,2,17,16,0,94,5,6.75,11.2,218,150,0
105002689,86.8,8.93333333333,585745066,1,2010-01-15 01:53:06,0,0,2501787.84607169,1,0,0.748603351955,1,12,12,0,4,0,15,11,0,93,6,27.9333333333,10.5,179,134,0
105044961,97.05,7.80952380952,881995428,1,2010-01-15 05:18:35,0,0,4337532.511797495,1,0,0.587813620072,1,7,3,4,11,0,21,18,0,90,10,5.72440944882,11.1,279,164,0
105100511,74.15789473684211,5.52777777778,513566972,1,2010-01-15 10:52:25,0,0,4065497.335976539,1,0,0.637820512821,1,7,4,0,12,11,37,18,0,100,0,6.07407407407,10.1,312,199,0
105137547,83.05,4.67567567568,387947459,1,2010-01-15 13:25:04,1,0,7210613.229196383,1,0,0.41686746988,1,15,6,0,23,12,74,48,0,95,5,3.75446428571,10.4,830,346,0
105156640,94.44444444444444,9.1,3871572000,3,2010-01-15 14:37:03,0,0,28517184.36090917,1,0,0.755186721992,1,13,13,0,7,1,22,18,0,94,5,2.34467455621,9.7,241,182,0
105270069,63.3,7.27906976744,716597418,1,2010-01-15 22:04:44,0,0,4226889.060421127,1,0,0.660337552743,1,13,6,0,19,5,44,29,0,100,0,1.77620087336,9.5,474,313,0
105293701,92.5,9.58333333333,1537875583,1,2010-01-15 23:26:57,0,0,4933466.270795353,1,0,0.771812080537,1,14,13,0,3,0,12,9,0,100,0,6.08823529412,9.8,149,115,0
