a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
33212890,127.8,8.82,10038690,1,2009-04-19 14:38:04,False,False,48280.47261947629,9,0.590756865372,True,ElisaDospina,12,12,0,28,82,34146,37,0,95,5,0.107428514297,12.0,1493,882,True
39773427,85.35,7.54,596138220,3,2009-05-13 15:34:41,False,False,6771400.578590047,0,0.608555286521,True,Vladimir65,10,8,2,34,65,25769,30,0,100,0,1.32786885246,10.2,1239,754,False
57007623,94.3,9.77,53206830,1,2009-07-15 12:55:03,False,False,489852.46503661433,0,0.61523929471,True,RafielaMorales,14,14,0,26,50,8547,30,25,50,25,0.828920570265,10.5,1588,977,False
96435556,61.25,6.69,4111420,2,2009-12-12 22:53:04,False,False,27910.558441699082,13,0.637750238322,True,Marianocrt,10,10,0,0,4,50311,88,0,100,0,1.70632911392,12.2,1049,669,False
177671726,98.0,9.83,1327042360,3,2010-08-12 19:31:28,False,False,24850197.03928816,0,0.570185614849,True,RobertoBoscaini,15,15,0,33,82,264,31,0,100,0,4.52173913043,10.3,1724,983,False
223945761,104.1,6.85,3313370,1,2010-12-07 19:08:04,False,False,10970.108745472855,25,0.407980941036,True,ilsaggiolibro,13,13,0,0,0,170893,100,0,100,0,0.0185120502969,12.3,1679,685,False
237178034,76.3,8.71,34626030,1,2011-01-12 07:35:22,False,False,175120.15233332655,0,0.582998661312,True,Camillesr78,11,9,2,3,4,2521,2,10,90,0,0.766695861616,10.9,1494,871,False
237201814,82.15,8.81,39672010,1,2011-01-12 09:18:38,False,False,179596.36059884398,0,0.592069892473,True,Adelabx71,9,7,2,5,5,2825,2,0,95,5,1.1417498778,9.4,1488,881,False
237226175,92.75,9.31,40703970,1,2011-01-12 11:00:59,False,False,174758.11893846304,0,0.60651465798,True,Adelahu83,9,7,2,3,9,2725,3,5,95,0,0.889108505998,9.8,1535,931,False
237234251,60.6,8.42,2212290,1,2011-01-12 11:31:54,False,False,2270.650469701481,0,0.580689655172,True,Giuliafranchi87,15,13,2,6,0,1326,2,0,100,0,0.792410571447,9.0,1450,842,False
240706202,88.36842105263158,8.68,37416030,1,2011-01-20 15:10:01,False,False,220834.54621749258,0,0.609550561798,True,ilpoetadel,10,10,0,4,3,7572,4,5,84,10,1.17477023421,9.8,1424,868,False
260649579,62.9,5.89,28512010,1,2011-03-04 09:03:56,True,False,172583.91239176234,0,0.485572959604,True,iinokinji,9,9,0,92,0,31246,0,0,100,0,0.0115511551155,11.7,1213,589,False
282659109,123.25,7.91,42413950,1,2011-04-15 16:57:53,False,False,350627.5854159616,0,0.380288461538,True,Sconton,7,7,0,0,0,65956,99,0,95,5,0.280991735537,13.7,2080,791,False
299988118,65.26315789473684,5.62,351059440,1,2011-05-17 00:52:11,False,False,3518777.1355445576,0,0.536771728749,True,PeterLaliOK,11,11,0,2,17,10896,17,0,94,5,4.87132352941,9.9,1047,562,False
